Native HTML rebuild visual QA - 2026-09-17
Day 1 slide 01: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 35: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 36: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 1 slide 37: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 01: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 02: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 03: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 04: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 05: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 06: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 07: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 08: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 09: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 10: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 11: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 12: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 13: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 14: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 15: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Day 2 slide 16: rendered at 640x400; inspected in contact sheet; native text/shapes visible, no blank slide or edge overflow at deck scale. PASS
Full-size checks: Day 1 slide 1 and Day 2 slide 6 at 1440x900; typography, frame and footer fit. PASS
